,-180,-175,-170,-165,-160,-155,-150,-145,-140,-135,-130,-125,-120,-115,-110,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175
-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-80,,,,,,,1.5621512077899915,1.4414731037767725,1.346411316396284,1.2626746378491909,1.1873781344953678,1.1197075342287024,1.0594430784089248,1.0062353904754717,0.9597200783179586,0.9194352009294583,0.8848956770920916,0.855681350713687,0.8314098773917571,0.8117547645176861,0.7964365002547052,0.7852490965644665,0.7780319453212556,0.7746670904136876,0.7751249294135927,0.7794212872753166,0.7876663366855292,0.8000372719333787,0.8168642615327774,0.8386493605831942,0.8660807525213792,0.9003446893008276,0.9433291449046768,0.9984729481676394,1.072640666345096,1.1816887115131272,1.3534434484075182,1.5629199982770448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75,1.728180886191547,1.600461522759813,1.4912685951704499,1.391620396991616,1.297340105675873,1.2065681637759698,1.1190643337286548,1.0358251036467894,0.95833304497392,0.8878272781206097,0.8249331050221799,0.7696303417250653,0.7215346861070453,0.6800437713819056,0.6445197402140731,0.6143427000233862,0.588948644805168,0.567850182027891,0.5506409885861397,0.5369836131553309,0.5266062535377161,0.519295519208818,0.5148844523874311,0.513253500506203,0.5143213523203656,0.5180439013992028,0.5244127501622355,0.5334621775145055,0.5452661844035659,0.5599550811706911,0.5777202627202711,0.5988460734117451,0.6237296435571161,0.6529086672765433,0.6871817819629071,0.7276299089146577,0.7759046029902787,0.8345723889847848,0.9080284090126783,1.0047194092256955,1.1415820411763027,1.3289017923043076,1.5140754837569868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9045785626038232
-70,1.3454379573355308,1.2408043542951857,1.1435386722366911,1.051289828833621,0.9638508100515776,0.8820647149832749,0.8070671106102238,0.7396770726454017,0.6801491674210278,0.628221638747728,0.5832721907410613,0.5445426866756145,0.5112661636591848,0.48275047638795293,0.4584080111841481,0.4377532445365906,0.42039796572278043,0.40603124056615003,0.39440897269439507,0.3853400657444021,0.3786748905211968,0.37429908998975797,0.3721221971976661,0.37207758488165427,0.37411351417851485,0.3781934806349545,0.38429303596636777,0.3923994166382344,0.4025128098471587,0.4146522347108441,0.4288555534816232,0.44519342495113984,0.4637791782332775,0.484785209610402,0.5084670764193263,0.5351987344170102,0.5655111121109869,0.6001669492673354,0.6402487808279281,0.6873162520490735,0.7436815729719739,0.8129740788381333,0.9015359792614543,1.0222079556926476,1.1988675889928453,1.4157626203105949,1.6060942653784898,,,,,,,,,,,,,,,,,,,,,,,,1.61790427676364,1.4641946918858368
-65,0.997105257579833,0.9095495190348366,0.8287268465297364,0.7550046086864732,0.688632263947471,0.6296418867335966,0.5777703413320108,0.5324804111136934,0.4930706760592989,0.4588029551572921,0.4289893954460232,0.4030340749589553,0.3804454744033147,0.3608276080921588,0.3438689115806301,0.3293278570853415,0.31701887121308575,0.30680283968995625,0.29857576589834267,0.2922610305583242,0.28780289408142085,0.28516055690277264,0.2843029522338719,0.28520596746752236,0.2878475932430505,0.29220601383268424,0.2982563909193449,0.3059698482740227,0.3153120957879008,0.32624549309091483,0.3387307398344037,0.35273140285823346,0.36822305777284975,0.3852019910859837,0.4037000702196765,0.42380323862590336,0.44567273166124033,0.4695771042669874,0.4959263061552018,0.5253263965661159,0.5586410329162628,0.5971021857873365,0.6424722209611594,0.6973343113482616,0.7656719325295315,0.854302319094998,0.9772087141910493,1.1677911408931723,1.4375395175128496,,,,,,,,,,,,,,,,,,,1.596540374083964,1.4275944955925903,1.3013818807272635,1.1917607217794057,1.0910830093406108
-60,0.7039173174593873,0.6423249869989051,0.5873853315428923,0.5387927550937378,0.49603359801843794,0.4584840565532745,0.42549727386549724,0.3964648087703026,0.37084620505376226,0.34818244199918086,0.3280953613249017,0.3102804389488717,0.29449807844593046,0.28056508197717317,0.26834605179368043,0.25774622122301677,0.24870658014705765,0.24118106474044418,0.2351448586346663,0.2305901637004993,0.22752041931984832,0.2259444899622183,0.22587235146745213,0.22731059822064606,0.23025961054620567,0.23471039734900467,0.24064242853244633,0.24802229572578754,0.2568033871974944,0.2669275952981944,0.27831782745090655,0.29086858851671715,0.3044719375195855,0.31902137944546133,0.33442340597794706,0.35061227957826924,0.3675682716057334,0.38534021258931117,0.4040685668185424,0.424010311068788,0.4455647763960947,0.46930276919311525,0.49600081829988274,0.5266907751322423,0.5627480080321768,0.6060250473168683,0.6590745511975926,0.7255196183119696,0.8107098255996452,0.9235432622312976,1.0853020203811357,1.381025489827604,,,,,,,,,1.629251700091179,1.5472107299600837,1.4779495395785192,1.4072897270860905,1.3309139731698447,1.2511306096467074,1.1703418550244407,1.0888224484898823,1.0067162685981503,0.9252076126497091,0.8463328719294109,0.7721188959242805
-55,0.49570415204209256,0.45860070260379837,0.42537993799753593,0.39571533380569074,0.369236711256402,0.34557533023713244,0.32438771362614793,0.3053683870470863,0.28825475401904965,0.2728269812727482,0.2589073841681771,0.24636125058806274,0.23507220401184775,0.22495177546688305,0.21594526056559288,0.208026932905712,0.20119546847450895,0.19546896629889338,0.19088053470689814,0.18747331795649827,0.18529348909728524,0.1843851851528997,0.18478600558876526,0.1865235310551733,0.18961239496363627,0.19405200849478038,0.19982383780662183,0.20688847477767003,0.215185308339363,0.22463111044895598,0.23511865503698606,0.2465198015873549,0.258691232001033,0.2714828593730616,0.28472736219746836,0.29825308421755414,0.3119281737795519,0.3256760417725047,0.33949867810177137,0.3534973810537006,0.3678890313500818,0.3830126542662951,0.3993272023164219,0.4174012233129457,0.43790528980069937,0.4616062751261871,0.48937423019581794,0.5221874978972082,0.5611138067596741,0.6072088004943997,0.6611815861485041,0.7227530771339463,0.7899287592163943,0.8589739787119502,0.9252439806512324,0.9840414250006049,1.0310886613492412,1.0632394034163497,1.0789841422042057,1.0780990423397665,1.0613743474812207,1.0310258482744106,0.9907849871605228,0.9446837375525962,0.8953975555376852,0.844013476679458,0.7909839072853212,0.7370067195612034,0.6832893246834141,0.6312734244639087,0.5822121404997256,0.5369073766652038
-50,0.362915188237294,0.3406063323564551,0.32017930535723566,0.30153958675357667,0.2845547456360306,0.26907730554414644,0.254963336552261,0.24208234364599518,0.23030182544598846,0.21950893899238322,0.20961228785095365,0.2005402875286988,0.1922404718151876,0.1846824853442176,0.1778593426393262,0.17178534791562408,0.16649499967654968,0.1620399214142362,0.1584841158406417,0.1558978011635809,0.15435054934103137,0.15390463262158358,0.1546097286209643,0.1565001947850417,0.1595949497629123,0.16389840386459797,0.1693998189654193,0.17606931667802386,0.18385129621578306,0.1926579156268613,0.20236557520819606,0.21281617159932292,0.22382977005401566,0.23520791482581765,0.24674195922633904,0.25822764209887256,0.26948257319953367,0.28036024558600225,0.2907653706950847,0.3007062332091601,0.3103098327325877,0.3198250375687378,0.32960744359487637,0.3400866157180968,0.35172606807953855,0.3649849099858903,0.38028876277273277,0.3980041093119408,0.4184129123141375,0.44167254348594015,0.46775239292907567,0.4963378322397735,0.5267224684004371,0.5577402269720857,0.5878312259213009,0.6152483094987987,0.6383006524318987,0.6555054318928241,0.665694711063272,0.6681936261051777,0.6630507123846556,0.6510503791460479,0.6334239308727027,0.6114386757618183,0.5861800850474882,0.5585661292534403,0.5294398587300526,0.49961899400117293,0.4698792418932911,0.44089622470141493,0.4131949964841472,0.38713448612232265
-45,0.2768808392467493,0.2627301078064302,0.24952891245383796,0.23727649686118576,0.22592408499176642,0.215405957696184,0.20565268643639753,0.1965991748479983,0.18818804585682147,0.1803730634327231,0.1731146932718808,0.16638024773612198,0.16014638569392795,0.15440329706762865,0.14915903895440313,0.14444251171516928,0.14030381757404836,0.13681165741216553,0.1340477919361115,0.1320990204027796,0.13104735888009417,0.13096006565248494,0.13188264253753582,0.13383838025191816,0.13683557361947277,0.14087749960422277,0.14596609480878012,0.15209375929621627,0.15922706887830823,0.16729169684415995,0.17616558328753,0.1856812189824789,0.1956341808842318,0.20579455504908029,0.21592018993309833,0.22577809435789262,0.23514963617406348,0.2438501471321429,0.25175242333472536,0.2588137142187176,0.26510298422195155,0.2708170031151537,0.2762670678783371,0.28184361503619104,0.2879584400166363,0.29498509012865165,0.30321844579510515,0.31285134961390304,0.32396149841793326,0.336502131732409,0.35028879706817434,0.36498735828796075,0.38010503454027667,0.3950037776245874,0.40894285639496836,0.4211593240595848,0.43097016560480095,0.43785906846515155,0.4415325077400438,0.44192448712044463,0.43915705757746815,0.43348117015925486,0.4252124907839875,0.41469036136210635,0.40225965553075166,0.38827063630396064,0.37308169521299744,0.3570615285070352,0.34058374924232965,0.3240159395392267,0.30769755458191383,0.2919148649632802
-40,0.21850738378584217,0.20907426588508427,0.2001280532054743,0.19169459888756923,0.18376653580469382,0.1763181239878454,0.16931887740874565,0.1627420292557696,0.15656645950914427,0.15077431292340057,0.14534800118497657,0.14026983529986523,0.13552563883260402,0.1311113557486462,0.127040153529552,0.12334742214712989,0.12009203832173128,0.11735355619797458,0.115225405203747,0.11380431943880052,0.11317615170609892,0.11340037144972659,0.11449962991038207,0.11646418213430608,0.11927526141217591,0.12293399598663725,0.1274702468355224,0.13291974820037583,0.13928611685311584,0.14651295030195546,0.15447697292965806,0.1629976879067207,0.17185444894135427,0.1808043685963529,0.1895983018701712,0.19799488949549926,0.20577373118353026,0.21274929840669404,0.21878891594689429,0.2238240285738863,0.2278748058344578,0.23107747524015923,0.233697259864021,0.23610229837666602,0.23869628546567978,0.24184079277219278,0.245800552054748,0.25072091927268925,0.25662779907753097,0.2634337885123838,0.27093750527074195,0.2788509968914015,0.28681165292077415,0.2944084820790134,0.3012225101203527,0.30687935352522067,0.31110175542048085,0.31374245603812984,0.3147855378302641,0.31431166337212774,0.3124482753648148,0.30932069729766054,0.3050259589939164,0.29963191310358533,0.29319306454259597,0.2857726604049722,0.27746007989722876,0.268382178163739,0.25870979822154105,0.2486594025864286,0.23846411750184726,0.2283496795280845
-35,0.1770531805232229,0.17045480162291576,0.1641306810673703,0.15811502348014467,0.15240724314156917,0.14699044480565365,0.141847055514356,0.13696694887281408,0.13234706444621086,0.12798564013429797,0.12387639616945204,0.12000734456386235,0.1163658578852587,0.11294809308205601,0.10976878714489227,0.10686768417060924,0.10431074864841838,0.1021862209872966,0.10059607284510425,0.09964241585793854,0.09940780761207546,0.09993137274366862,0.10119224216977774,0.10312242585155501,0.10566074669164813,0.10881509462976421,0.11267128340948676,0.11733414192762487,0.1228534950529441,0.1291854828966777,0.13619471838605776,0.14367843626377252,0.15139580764781335,0.15909401735624454,0.166528261512268,0.1734758507502571,0.1797462832257721,0.1851889692814755,0.18969914386196313,0.1932224155630085,0.19576273654218934,0.19740238479111427,0.19833147238885926,0.19885698293287773,0.1993570697341243,0.20019322829173042,0.20163250820989675,0.20381251566419897,0.20674408860482538,0.21033177776868256,0.2143979688247767,0.21870609053274725,0.2229839619091308,0.22695051453423026,0.23034853846718764,0.23298049368240722,0.23473765681241807,0.23561057938957522,0.2356721689789151,0.23503808344463062,0.2338197017720295,0.232087196168298,0.22985489923562138,0.22708979191264583,0.2237352928413791,0.21973794706439098,0.2150691757144519,0.209740239809405,0.20381319683430651,0.19740620035292622,0.1906858111324572,0.18384233955333903
-30,0.1465446995119804,0.14176823496361166,0.13716430818158487,0.1327664573350314,0.12857207324663592,0.12456351304712962,0.12072659559179859,0.11705926419628604,0.11356893918743118,0.11026301778118415,0.1071401321391734,0.10418851485947483,0.10139320654215792,0.0987487733334329,0.09627161890416171,0.09400697535464585,0.09202878158873005,0.0904336246224132,0.08932996846298905,0.08882158023115531,0.08898155815513735,0.08981691259253605,0.0912412333305435,0.09309957091926205,0.09527460068142297,0.09780158097546364,0.1008610878763187,0.1046510946728942,0.1092678946952651,0.11466884680259432,0.12069529971602869,0.1271156526192878,0.13366753524913483,0.14009197223307895,0.1461571379800091,0.15167159441655947,0.15648947996654847,0.1605110998431128,0.16368103094345574,0.16598388275518433,0.16743938891011506,0.16810544055369261,0.16810091600678645,0.16763913000960431,0.16702716697665432,0.16660088081119345,0.16663281922240814,0.16727365037400607,0.16854459979811676,0.17036103614747672,0.17256476933418674,0.17495452235120104,0.17731309691177147,0.17943340961790946,0.1811450099639142,0.1823389220688655,0.18298406496091119,0.1831262869198542,0.1828662980480637,0.18232160404411624,0.1815858650978802,0.18069982749245742,0.1796422529147837,0.17834090067287128,0.17669625764929947,0.17460791962919328,0.17199607244952467,0.168816996542361,0.16507619392440426,0.1608389416414618,0.15622939300507555,0.1514097063243698
-25,0.12357826400504254,0.12001208502758176,0.11658053942302016,0.11331502460608746,0.11020520036678189,0.10722551062715381,0.10435861596095415,0.10160532126509479,0.09897920146858333,0.0964927393598725,0.09414567096922738,0.09192355215697447,0.0898078535098599,0.08779223164444079,0.08589685515945923,0.08417477076085293,0.08270922845049532,0.08160466254547001,0.08097365905005056,0.08091796964509339,0.08149633921519912,0.08267418149960949,0.08427716270853224,0.0860285586126705,0.0877394710591678,0.08950533679968835,0.09164940466544888,0.09448142146213044,0.09813710926420252,0.10256425034005937,0.10757598527088816,0.1129123302650914,0.11829281847839809,0.12345742645478706,0.1281936319087711,0.13234840936175868,0.13582732353688284,0.13858582985202827,0.14061820630920563,0.14194727634350549,0.14261525007958378,0.14267755580978939,0.142210020195355,0.14133913964683215,0.14027317181342286,0.13928282403728615,0.13862356908660017,0.13845797686565112,0.13882697876347325,0.13966618725361962,0.1408406407689125,0.1421795477623594,0.14350541528693797,0.14465866656602405,0.14551947669829576,0.14602588565068375,0.14618299357599607,0.1460572179139743,0.14575332650817596,0.145380071732218,0.14501577640995336,0.14468503956333303,0.14435266685749,0.14393429800933005,0.1433175070403515,0.1423852291385228,0.14103489769808608,0.13919289166655097,0.13682860263413893,0.13396949398138178,0.13070841100984285,0.1271903857029246
-20,0.1060588556028373,0.10333047645501373,0.10074118169509139,0.09831701538855965,0.09603431208819499,0.09385418432422443,0.09175209936198044,0.08972891539614677,0.0878020078451258,0.08598658650874721,0.08428145554237304,0.08266867106097314,0.08112713483746252,0.07965215578136776,0.07827063731483314,0.07704544483073712,0.07606917716338434,0.07545201207084495,0.0753070130907362,0.07573001022472227,0.07676249763706773,0.0783236246856682,0.08013066941632233,0.08173967761026328,0.08286710721036651,0.0837174043795399,0.08481465950757001,0.08659057650896924,0.089207906096618,0.09259880115055188,0.09655185765528107,0.10078637093419648,0.10501091273813343,0.10896906146676674,0.11246981909528025,0.11539926493219009,0.11771381427239487,0.11942084737558145,0.12055648702701795,0.12116938598319427,0.12131249875902865,0.12103840854358586,0.12039854838437389,0.11945897343282581,0.11833629505548074,0.11721623587643042,0.11631190081219342,0.11578583844014025,0.11569941961620382,0.11601330342015245,0.1166184999858073,0.11737274120032289,0.11813074370673388,0.11876743249450618,0.11919627305561227,0.11938273445801728,0.11934923706345056,0.1191670520118538,0.11893441724004221,0.11874662387462939,0.11866778292795784,0.11871280115603634,0.11884326789487053,0.11897615959732293,0.11900091941393129,0.11879842576290368,0.11825677116262263,0.11728381687020863,0.11582182665197915,0.11386781885180727,0.11149128403935939,0.10883071684005921
-15,0.09273874071382511,0.09063915510427127,0.08870249600495962,0.08694542479009736,0.08532961321363051,0.08380311476703894,0.08233440729013297,0.08092369785717982,0.07959048708053365,0.0783506939103954,0.07720098942297163,0.07612059244232668,0.07508852787745314,0.07410541098800212,0.07320773629605751,0.07246874138170818,0.071988217301014,0.07187778799781482,0.07224576255074326,,,,,,,,0.0802272532058863,0.08083871182789269,0.08232391382706017,0.08460037317038831,0.08744382007504609,0.09056540380777081,0.0936712197074555,0.0965112636573062,0.09891367673068416,0.10079763836037682,0.10216211716443727,0.10305628447906848,0.10354619979802024,0.10369300682022776,0.10354713885049377,0.10314978262563336,0.10253203559011417,0.10171860228039906,0.10075426514279016,0.0997416213749203,0.09883817485222557,0.09819520137496579,0.09789238841527986,0.09791837354335343,0.09819292477535788,0.09860241823756184,0.09903042969826749,0.09937964646590718,0.09958748229187342,0.09963631380052453,0.09955577227980027,0.09941362633089176,0.09929569241735023,0.09928069705294384,0.09941854095100221,0.09971765204244411,0.10014242299246628,0.1006190777260741,0.10104740624077396,0.1013143581193503,0.10130586710050711,0.10091730831381482,0.10006907786793531,0.09873348617674084,0.09696456882065606,0.09490348453173102
